Key,File,Type,UsedInMainMenu,,english
dialog_KaceyGellar_response_help_no,Quest,Dialogs,,,"You're insane. I'm not staying here."
dialog_KaceyGellar_response_help_yes,Quest,Dialogs,,,"You're right. I'll stay with you."
DLAMP_01_tip_title,Journal Tip,,,,"Discovering D-LAMP"
DLAMP_01_tip,Journal Tip,,,,"This bunker, D-LAMP, was created by the Atomic Energy Commission. Another survivor who made their way in before me claims to have found paper and documents indentifying it as such. The two documents she found were dated 1958.\n\nMany of the doors are locked by a keycode, but at least one code, [4936], was written on the found documents.\n\nThe survivor has been too afraid to open the door, and she's got a good reason. If we open the wrong door, we might contaminate the facility with deadly radiation.\n\nShe suggests we look for more information before we start poking around, but the drawers and safes are sealed shut. I'm going to need some lockpicks if I plan on getting them open."
KaceyGellar_01_tip_title,Journal Tip,,,,"Kacey Gellar"
KaceyGellar_01_tip,Journal Tip,,,,"I just met Kacey Gellar, an ER doctor from New York City. Somehow she survived travelling all the way here just after the bombs fell. I can't be sure, but I have to imagine that took years. She's cagey about her details.\n\nWhat's important though, if she's still alive after all that, and managed to find this top-secret government nuke base all by herself, she must be resourceful. Best keep an eye on her. This could be a trap."
quest_KaceyGellar_help_01,Quest,Quest Info,,,"Partners in Crime"
quest_KaceyGellar_help_01_completion,Quest,Quest Info,,,"You spoke with Kacey Gellar about exploring the D-LAMP facility in hopes of finding supplies and technology."
quest_KaceyGellar_help_01_description,Quest,Quest Info,,,"Talk to the survivor in the bunker."
quest_KaceyGellar_help_01_subtitle,Quest,Quest Info,,,"Partners in Crime"
